,Year,Player,Team,League
0,2007-08,Tracy McGrady,3,NBA
0,2006-07,Amar'e Stoudemire,1,NBA
0,2006-07,Tim Duncan,1,NBA
0,2006-07,Dirk Nowitzki,1,NBA
0,2006-07,Kobe Bryant,1,NBA
0,2006-07,Steve Nash,1,NBA
0,2006-07,Yao Ming,2,NBA
0,2006-07,Chris Bosh,2,NBA
0,2006-07,LeBron James,2,NBA
0,2006-07,Gilbert Arenas,2,NBA
0,2006-07,Tracy McGrady,2,NBA
0,2006-07,Dwight Howard,3,NBA
0,2006-07,Carmelo Anthony,3,NBA
0,2006-07,Kevin Garnett,3,NBA
0,2006-07,Chauncey Billups,3,NBA
0,2006-07,Dwyane Wade,3,NBA
0,2005-06,Shaquille O'Neal,1,NBA
0,2005-06,LeBron James,1,NBA
0,2005-06,Dirk Nowitzki,1,NBA
0,2005-06,Kobe Bryant,1,NBA
0,2005-06,Steve Nash,1,NBA
0,2005-06,Ben Wallace,2,NBA
0,2005-06,Elton Brand,2,NBA
0,2005-06,Tim Duncan,2,NBA
0,2005-06,Chauncey Billups,2,NBA
0,2005-06,Dwyane Wade,2,NBA
0,2005-06,Yao Ming,3,NBA
0,2005-06,Carmelo Anthony,3,NBA
0,2005-06,Shawn Marion,3,NBA
0,2005-06,Gilbert Arenas,3,NBA
0,2005-06,Allen Iverson,3,NBA
0,2004-05,Shaquille O'Neal,1,NBA
0,2004-05,Tim Duncan,1,NBA
0,2004-05,Dirk Nowitzki,1,NBA
0,2004-05,Allen Iverson,1,NBA
0,2004-05,Steve Nash,1,NBA
0,2004-05,Amar'e Stoudemire,2,NBA
0,2004-05,Kevin Garnett,2,NBA
0,2004-05,LeBron James,2,NBA
0,2004-05,Ray Allen,2,NBA
0,2004-05,Dwyane Wade,2,NBA
0,2004-05,Ben Wallace,3,NBA
0,2004-05,Shawn Marion,3,NBA
0,2004-05,Tracy McGrady,3,NBA
0,2004-05,Gilbert Arenas,3,NBA
0,2004-05,Kobe Bryant,3,NBA
0,2003-04,Shaquille O'Neal,1,NBA
0,2003-04,Tim Duncan,1,NBA
0,2003-04,Kevin Garnett,1,NBA
0,2003-04,Kobe Bryant,1,NBA
0,2003-04,Jason Kidd,1,NBA
0,2003-04,Ben Wallace,2,NBA
0,2003-04,Jermaine O'Neal,2,NBA
0,2003-04,Peja Stojaković,2,NBA
0,2003-04,Sam Cassell,2,NBA
0,2003-04,Tracy McGrady,2,NBA
0,2003-04,Yao Ming,3,NBA
0,2003-04,Metta World Peace,3,NBA
0,2003-04,Dirk Nowitzki,3,NBA
0,2003-04,Baron Davis,3,NBA
0,2003-04,Michael Redd,3,NBA
0,2002-03,Shaquille O'Neal,1,NBA
0,2002-03,Tim Duncan,1,NBA
0,2002-03,Kevin Garnett,1,NBA
0,2002-03,Kobe Bryant,1,NBA
0,2002-03,Tracy McGrady,1,NBA
0,2002-03,Ben Wallace,2,NBA
0,2002-03,Dirk Nowitzki,2,NBA
0,2002-03,Chris Webber,2,NBA
0,2002-03,Allen Iverson,2,NBA
0,2002-03,Jason Kidd,2,NBA
0,2002-03,Jermaine O'Neal,3,NBA
0,2002-03,Jamal Mashburn,3,NBA
0,2002-03,Paul Pierce,3,NBA
0,2002-03,Stephon Marbury,3,NBA
0,2002-03,Steve Nash,3,NBA
0,2001-02,Shaquille O'Neal,1,NBA
0,2001-02,Tim Duncan,1,NBA
0,2001-02,Tracy McGrady,1,NBA
0,2001-02,Kobe Bryant,1,NBA
0,2001-02,Jason Kidd,1,NBA
0,2001-02,Dirk Nowitzki,2,NBA
0,2001-02,Kevin Garnett,2,NBA
0,2001-02,Chris Webber,2,NBA
0,2001-02,Allen Iverson,2,NBA
0,2001-02,Gary Payton,2,NBA
0,2001-02,Dikembe Mutombo,3,NBA
0,2001-02,Jermaine O'Neal,3,NBA
0,2001-02,Ben Wallace,3,NBA
0,2001-02,Steve Nash,3,NBA
0,2001-02,Paul Pierce,3,NBA
0,2000-01,Shaquille O'Neal,1,NBA
0,2000-01,Tim Duncan,1,NBA
0,2000-01,Chris Webber,1,NBA
0,2000-01,Allen Iverson,1,NBA
0,2000-01,Jason Kidd,1,NBA
0,2000-01,Dikembe Mutombo,2,NBA
0,2000-01,Vince Carter,2,NBA
0,2000-01,Kevin Garnett,2,NBA
0,2000-01,Kobe Bryant,2,NBA
0,2000-01,Tracy McGrady,2,NBA
0,2000-01,David Robinson,3,NBA
0,2000-01,Karl Malone,3,NBA
0,2000-01,Dirk Nowitzki,3,NBA
0,2000-01,Ray Allen,3,NBA
0,2000-01,Gary Payton,3,NBA
0,1999-00,Shaquille O'Neal,1,NBA
0,1999-00,Tim Duncan,1,NBA
0,1999-00,Kevin Garnett,1,NBA
0,1999-00,Jason Kidd,1,NBA
0,1999-00,Gary Payton,1,NBA
0,1999-00,Alonzo Mourning,2,NBA
0,1999-00,Grant Hill,2,NBA
0,1999-00,Karl Malone,2,NBA
0,1999-00,Kobe Bryant,2,NBA
0,1999-00,Allen Iverson,2,NBA
0,1999-00,David Robinson,3,NBA
0,1999-00,Vince Carter,3,NBA
0,1999-00,Chris Webber,3,NBA
0,1999-00,Eddie Jones,3,NBA
0,1999-00,Stephon Marbury,3,NBA
0,1998-99,Alonzo Mourning,1,NBA
0,1998-99,Tim Duncan,1,NBA
0,1998-99,Karl Malone,1,NBA
0,1998-99,Allen Iverson,1,NBA
0,1998-99,Jason Kidd,1,NBA
0,1998-99,Shaquille O'Neal,2,NBA
0,1998-99,Grant Hill,2,NBA
0,1998-99,Chris Webber,2,NBA
0,1998-99,Tim Hardaway,2,NBA
0,1998-99,Gary Payton,2,NBA
0,1998-99,Hakeem Olajuwon,3,NBA
0,1998-99,Kevin Garnett,3,NBA
0,1998-99,Antonio McDyess,3,NBA
0,1998-99,Kobe Bryant,3,NBA
0,1998-99,John Stockton,3,NBA
0,1997-98,Shaquille O'Neal,1,NBA
0,1997-98,Tim Duncan,1,NBA
0,1997-98,Karl Malone,1,NBA
0,1997-98,Michael Jordan,1,NBA
0,1997-98,Gary Payton,1,NBA
0,1997-98,David Robinson,2,NBA
0,1997-98,Vin Baker,2,NBA
0,1997-98,Grant Hill,2,NBA
0,1997-98,Tim Hardaway,2,NBA
0,1997-98,Rod Strickland,2,NBA
0,1997-98,Dikembe Mutombo,3,NBA
0,1997-98,Scottie Pippen,3,NBA
0,1997-98,Glen Rice,3,NBA
0,1997-98,Reggie Miller,3,NBA
0,1997-98,Mitch Richmond,3,NBA
0,1996-97,Hakeem Olajuwon,1,NBA
0,1996-97,Grant Hill,1,NBA
0,1996-97,Karl Malone,1,NBA
0,1996-97,Tim Hardaway,1,NBA
0,1996-97,Michael Jordan,1,NBA
0,1996-97,Patrick Ewing,2,NBA
0,1996-97,Scottie Pippen,2,NBA
0,1996-97,Glen Rice,2,NBA
0,1996-97,Gary Payton,2,NBA
0,1996-97,Mitch Richmond,2,NBA
0,1996-97,Shaquille O'Neal,3,NBA
0,1996-97,Vin Baker,3,NBA
0,1996-97,Anthony Mason,3,NBA
0,1996-97,Anfernee Hardaway,3,NBA
0,1996-97,John Stockton,3,NBA
0,1995-96,David Robinson,1,NBA
0,1995-96,Karl Malone,1,NBA
0,1995-96,Scottie Pippen,1,NBA
0,1995-96,Anfernee Hardaway,1,NBA
0,1995-96,Michael Jordan,1,NBA
0,1995-96,Hakeem Olajuwon,2,NBA
0,1995-96,Grant Hill,2,NBA
0,1995-96,Shawn Kemp,2,NBA
0,1995-96,Gary Payton,2,NBA
0,1995-96,John Stockton,2,NBA
0,1995-96,Shaquille O'Neal,3,NBA
0,1995-96,Charles Barkley,3,NBA
0,1995-96,Juwan Howard,3,NBA
0,1995-96,Reggie Miller,3,NBA
0,1995-96,Mitch Richmond,3,NBA
0,1994-95,David Robinson,1,NBA
0,1994-95,Karl Malone,1,NBA
0,1994-95,Scottie Pippen,1,NBA
0,1994-95,Anfernee Hardaway,1,NBA
0,1994-95,John Stockton,1,NBA
0,1994-95,Shaquille O'Neal,2,NBA
0,1994-95,Charles Barkley,2,NBA
0,1994-95,Shawn Kemp,2,NBA
0,1994-95,Gary Payton,2,NBA
0,1994-95,Mitch Richmond,2,NBA
0,1994-95,Hakeem Olajuwon,3,NBA
0,1994-95,Dennis Rodman,3,NBA
0,1994-95,Detlef Schrempf,3,NBA
0,1994-95,Clyde Drexler,3,NBA
0,1994-95,Reggie Miller,3,NBA
0,1993-94,Hakeem Olajuwon,1,NBA
0,1993-94,Karl Malone,1,NBA
0,1993-94,Scottie Pippen,1,NBA
0,1993-94,Latrell Sprewell,1,NBA
0,1993-94,John Stockton,1,NBA
0,1993-94,David Robinson,2,NBA
0,1993-94,Charles Barkley,2,NBA
0,1993-94,Shawn Kemp,2,NBA
0,1993-94,Kevin Johnson,2,NBA
0,1993-94,Mitch Richmond,2,NBA
0,1993-94,Shaquille O'Neal,3,NBA
0,1993-94,Derrick Coleman,3,NBA
0,1993-94,Dominique Wilkins,3,NBA
0,1993-94,Gary Payton,3,NBA
0,1993-94,Mark Price,3,NBA
0,1992-93,Hakeem Olajuwon,1,NBA
0,1992-93,Charles Barkley,1,NBA
0,1992-93,Karl Malone,1,NBA
0,1992-93,Michael Jordan,1,NBA
0,1992-93,Mark Price,1,NBA
0,1992-93,Patrick Ewing,2,NBA
0,1992-93,Larry Johnson,2,NBA
0,1992-93,Dominique Wilkins,2,NBA
0,1992-93,Joe Dumars,2,NBA
0,1992-93,John Stockton,2,NBA
0,1992-93,David Robinson,3,NBA
0,1992-93,Derrick Coleman,3,NBA
0,1992-93,Scottie Pippen,3,NBA
0,1992-93,Tim Hardaway,3,NBA
0,1992-93,Dražen Petrović,3,NBA
0,1991-92,David Robinson,1,NBA
0,1991-92,Karl Malone,1,NBA
0,1991-92,Chris Mullin,1,NBA
0,1991-92,Clyde Drexler,1,NBA
0,1991-92,Michael Jordan,1,NBA
0,1991-92,Patrick Ewing,2,NBA
0,1991-92,Charles Barkley,2,NBA
0,1991-92,Scottie Pippen,2,NBA
0,1991-92,Tim Hardaway,2,NBA
0,1991-92,John Stockton,2,NBA
0,1991-92,Brad Daugherty,3,NBA
0,1991-92,Dennis Rodman,3,NBA
0,1991-92,Kevin Willis,3,NBA
0,1991-92,Kevin Johnson,3,NBA
0,1991-92,Mark Price,3,NBA
0,1990-91,David Robinson,1,NBA
0,1990-91,Charles Barkley,1,NBA
0,1990-91,Karl Malone,1,NBA
0,1990-91,Magic Johnson,1,NBA
0,1990-91,Michael Jordan,1,NBA
0,1990-91,Patrick Ewing,2,NBA
0,1990-91,Chris Mullin,2,NBA
0,1990-91,Dominique Wilkins,2,NBA
0,1990-91,Clyde Drexler,2,NBA
0,1990-91,Kevin Johnson,2,NBA
0,1990-91,Hakeem Olajuwon,3,NBA
0,1990-91,Bernard King,3,NBA
0,1990-91,James Worthy,3,NBA
0,1990-91,Joe Dumars,3,NBA
0,1990-91,John Stockton,3,NBA
0,1989-90,Patrick Ewing,1,NBA
0,1989-90,Charles Barkley,1,NBA
0,1989-90,Karl Malone,1,NBA
0,1989-90,Magic Johnson,1,NBA
0,1989-90,Michael Jordan,1,NBA
0,1989-90,Hakeem Olajuwon,2,NBA
0,1989-90,Larry Bird,2,NBA
0,1989-90,Tom Chambers,2,NBA
0,1989-90,Kevin Johnson,2,NBA
0,1989-90,John Stockton,2,NBA
0,1989-90,David Robinson,3,NBA
0,1989-90,Chris Mullin,3,NBA
0,1989-90,James Worthy,3,NBA
0,1989-90,Clyde Drexler,3,NBA
0,1989-90,Joe Dumars,3,NBA
0,1988-89,Hakeem Olajuwon,1,NBA
0,1988-89,Charles Barkley,1,NBA
0,1988-89,Karl Malone,1,NBA
0,1988-89,Magic Johnson,1,NBA
0,1988-89,Michael Jordan,1,NBA
0,1988-89,Patrick Ewing,2,NBA
0,1988-89,Tom Chambers,2,NBA
0,1988-89,Chris Mullin,2,NBA
0,1988-89,Kevin Johnson,2,NBA
0,1988-89,John Stockton,2,NBA
0,1988-89,Robert Parish,3,NBA
0,1988-89,Terry Cummings,3,NBA
0,1988-89,Dominique Wilkins,3,NBA
0,1988-89,Dale Ellis,3,NBA
0,1988-89,Mark Price,3,NBA
0,1987-88,Hakeem Olajuwon,1,NBA
0,1987-88,Charles Barkley,1,NBA
0,1987-88,Larry Bird,1,NBA
0,1987-88,Magic Johnson,1,NBA
0,1987-88,Michael Jordan,1,NBA
0,1987-88,Patrick Ewing,2,NBA
0,1987-88,Karl Malone,2,NBA
0,1987-88,Dominique Wilkins,2,NBA
0,1987-88,Clyde Drexler,2,NBA
0,1987-88,John Stockton,2,NBA
0,1986-87,Hakeem Olajuwon,1,NBA
0,1986-87,Larry Bird,1,NBA
0,1986-87,Kevin McHale,1,NBA
0,1986-87,Magic Johnson,1,NBA
0,1986-87,Michael Jordan,1,NBA
0,1986-87,Moses Malone,2,NBA
0,1986-87,Charles Barkley,2,NBA
0,1986-87,Dominique Wilkins,2,NBA
0,1986-87,Fat Lever,2,NBA
0,1986-87,Isiah Thomas,2,NBA
0,1985-86,Kareem Abdul-Jabbar,1,NBA
0,1985-86,Larry Bird,1,NBA
0,1985-86,Dominique Wilkins,1,NBA
0,1985-86,Magic Johnson,1,NBA
0,1985-86,Isiah Thomas,1,NBA
0,1985-86,Hakeem Olajuwon,2,NBA
0,1985-86,Charles Barkley,2,NBA
0,1985-86,Alex English,2,NBA
0,1985-86,Sidney Moncrief,2,NBA
0,1985-86,Alvin Robertson,2,NBA
0,1984-85,Moses Malone,1,NBA
0,1984-85,Larry Bird,1,NBA
0,1984-85,Bernard King,1,NBA
0,1984-85,Magic Johnson,1,NBA
0,1984-85,Isiah Thomas,1,NBA
0,1984-85,Kareem Abdul-Jabbar,2,NBA
0,1984-85,Terry Cummings,2,NBA
0,1984-85,Ralph Sampson,2,NBA
0,1984-85,Michael Jordan,2,NBA
0,1984-85,Sidney Moncrief,2,NBA
0,1983-84,Kareem Abdul-Jabbar,1,NBA
0,1983-84,Larry Bird,1,NBA
0,1983-84,Bernard King,1,NBA
0,1983-84,Magic Johnson,1,NBA
0,1983-84,Isiah Thomas,1,NBA
0,1983-84,Moses Malone,2,NBA
0,1983-84,Adrian Dantley,2,NBA
0,1983-84,Julius Erving,2,NBA
0,1983-84,Sidney Moncrief,2,NBA
0,1983-84,Jim Paxson,2,NBA
0,1982-83,Moses Malone,1,NBA
0,1982-83,Larry Bird,1,NBA
0,1982-83,Julius Erving,1,NBA
0,1982-83,Magic Johnson,1,NBA
0,1982-83,Sidney Moncrief,1,NBA
0,1982-83,Kareem Abdul-Jabbar,2,NBA
0,1982-83,Alex English,2,NBA
0,1982-83,Buck Williams,2,NBA
0,1982-83,George Gervin,2,NBA
0,1982-83,Isiah Thomas,2,NBA
0,1981-82,Moses Malone,1,NBA
0,1981-82,Larry Bird,1,NBA
0,1981-82,Julius Erving,1,NBA
0,1981-82,George Gervin,1,NBA
0,1981-82,Gus Williams,1,NBA
0,1981-82,Robert Parish,2,NBA
0,1981-82,Alex English,2,NBA
0,1981-82,Bernard King,2,NBA
0,1981-82,Magic Johnson,2,NBA
0,1981-82,Sidney Moncrief,2,NBA
0,1980-81,Kareem Abdul-Jabbar,1,NBA
0,1980-81,Larry Bird,1,NBA
0,1980-81,Julius Erving,1,NBA
0,1980-81,George Gervin,1,NBA
0,1980-81,Dennis Johnson,1,NBA
0,1980-81,Moses Malone,2,NBA
0,1980-81,Adrian Dantley,2,NBA
0,1980-81,Marques Johnson,2,NBA
0,1980-81,Tiny Archibald,2,NBA
0,1980-81,Otis Birdsong,2,NBA
0,1979-80,Kareem Abdul-Jabbar,1,NBA
0,1979-80,Larry Bird,1,NBA
0,1979-80,Julius Erving,1,NBA
0,1979-80,George Gervin,1,NBA
0,1979-80,Paul Westphal,1,NBA
0,1979-80,Moses Malone,2,NBA
0,1979-80,Marques Johnson,2,NBA
0,1979-80,Dan Roundfield,2,NBA
0,1979-80,Dennis Johnson,2,NBA
0,1979-80,Gus Williams,2,NBA
0,1978-79,Moses Malone,1,NBA
0,1978-79,Elvin Hayes,1,NBA
0,1978-79,Marques Johnson,1,NBA
0,1978-79,George Gervin,1,NBA
0,1978-79,Paul Westphal,1,NBA
0,1978-79,Kareem Abdul-Jabbar,2,NBA
0,1978-79,Bob Dandridge,2,NBA
0,1978-79,Walter Davis,2,NBA
0,1978-79,Phil Ford,2,NBA
0,1978-79,World B. Free,2,NBA
0,1977-78,Bill Walton,1,NBA
0,1977-78,Julius Erving,1,NBA
0,1977-78,Truck Robinson,1,NBA
0,1977-78,George Gervin,1,NBA
0,1977-78,David Thompson,1,NBA
0,1977-78,Kareem Abdul-Jabbar,2,NBA
0,1977-78,Walter Davis,2,NBA
0,1977-78,Maurice Lucas,2,NBA
0,1977-78,Pete Maravich,2,NBA
0,1977-78,Paul Westphal,2,NBA
0,1976-77,Kareem Abdul-Jabbar,1,NBA
0,1976-77,Elvin Hayes,1,NBA
0,1976-77,David Thompson,1,NBA
0,1976-77,Pete Maravich,1,NBA
0,1976-77,Paul Westphal,1,NBA
0,1976-77,Bill Walton,2,NBA
0,1976-77,Julius Erving,2,NBA
0,1976-77,George McGinnis,2,NBA
0,1976-77,George Gervin,2,NBA
0,1976-77,Jo Jo White,2,NBA
0,1975-76,Kareem Abdul-Jabbar,1,NBA
0,1975-76,Rick Barry,1,NBA
0,1975-76,George McGinnis,1,NBA
0,1975-76,Tiny Archibald,1,NBA
0,1975-76,Pete Maravich,1,NBA
0,1975-76,Dave Cowens,2,NBA
0,1975-76,John Havlicek,2,NBA
0,1975-76,Elvin Hayes,2,NBA
0,1975-76,Phil Smith,2,NBA
0,1975-76,Randy Smith,2,NBA
0,1975-76,Artis Gilmore,1,ABA
0,1975-76,Julius Erving,1,ABA
0,1975-76,Billy Knight,1,ABA
0,1975-76,James Silas,1,ABA
0,1975-76,Ralph Simpson,1,ABA
0,1975-76,Dan Issel,2,ABA
0,1975-76,Bobby Jones,2,ABA
0,1975-76,David Thompson,2,ABA
0,1975-76,Don Buse,2,ABA
0,1975-76,George Gervin,2,ABA
0,1974-75,Bob McAdoo,1,NBA
0,1974-75,Rick Barry,1,NBA
0,1974-75,Elvin Hayes,1,NBA
0,1974-75,Tiny Archibald,1,NBA
0,1974-75,Walt Frazier,1,NBA
0,1974-75,Dave Cowens,2,NBA
0,1974-75,John Havlicek,2,NBA
0,1974-75,Spencer Haywood,2,NBA
0,1974-75,Phil Chenier,2,NBA
0,1974-75,Jo Jo White,2,NBA
0,1974-75,Artis Gilmore,1,ABA
0,1974-75,Julius Erving,1,ABA
0,1974-75,George McGinnis,1,ABA
0,1974-75,Ron Boone,1,ABA
0,1974-75,Mack Calvin,1,ABA
0,1974-75,Swen Nater,2,ABA
0,1974-75,Marvin Barnes,2,ABA
0,1974-75,George Gervin,2,ABA
0,1974-75,James Silas,2,ABA
0,1974-75,Brian Taylor,2,ABA
0,1973-74,Kareem Abdul-Jabbar,1,NBA
0,1973-74,Rick Barry,1,NBA
0,1973-74,John Havlicek,1,NBA
0,1973-74,Walt Frazier,1,NBA
0,1973-74,Gail Goodrich,1,NBA
0,1973-74,Bob McAdoo,2,NBA
0,1973-74,Elvin Hayes,2,NBA
0,1973-74,Spencer Haywood,2,NBA
0,1973-74,Dave Bing,2,NBA
0,1973-74,Norm Van Lier,2,NBA
0,1973-74,Artis Gilmore,1,ABA
0,1973-74,Julius Erving,1,ABA
0,1973-74,George McGinnis,1,ABA
0,1973-74,Mack Calvin,1,ABA
0,1973-74,Jimmy Jones,1,ABA
